"Train_No","Train_Name","Source_Station_Name","Destination_Station_Name","days"
"107","SWV-MAO-VLNK","SAWANTWADI ROAD","MADGOAN JN.","Saturday"
"108","VLNK-MAO-SWV","MADGOAN JN.","SAWANTWADI ROAD","Friday"
"128","MAO-KOP SPEC","MADGOAN JN.","CHHATRAPATI SHAHU MAHARAJ TERMINUS","Friday"
"290","PALACE ON WH","DELHI-SAFDAR JANG","DELHI-SAFDAR JANG","Wednesday"
"401","BSB BHARATDA","AURANGABAD","VARANASI JN.","Saturday"
"421","LKO-SVDK FTR","LUCKNOW JN.","SHRI MATA VAISHNO DEVI KATRA","Tuesday"
"422","SVDK-LKO FTR","SHRI MATA VAISHNO DEVI KATRA","LUCKNOW JN.","Monday"
"477","FTR TRAIN NO","SIRSA","SIRSA","Sunday"
"502","RJPB-UMB FTR","RAJENDRANAGAR TERMINAL","AMBALA CANTT JN","Monday"
"504","PNBE-BTI FTR","PATNA JN.","BATHINDA JN","Wednesday"
"506","PNBE-PTA FTR","PATNA JN.","PATIALA","Friday"
"557","RSD-PJP BSF","URKURA","PANJIPARA","Wednesday"
"22439","SVDK VANDEBHARAT","NEW DELHI","SHMATA VD KATRA","Friday"
"604","PNBE-ASR FTR","PATNA JN.","AMRITSAR JN.","Thursday"
"1011","CSMT-NGP SF","CST-MUMBAI","NAGPUR JN.(CR)","Thursday"
"1037","LTT-SWV SPL","LOKMANYA TILAK TERMINUS","SAWANTWADI ROAD","Tuesday"
"1038","SWV-LTT SPL","SAWANTWADI ROAD","LOKMANYA TILAK TERMINUS","Tuesday"
"1045","LTT-KRMI SPL","LOKMANYA TILAK TERMINUS","KARMALI","Thursday"
"1119","AJNI-KRMI SP","AJNI","KARMALI","Monday"
"1120","KRMI-AJNI SP","KARMALI","AJNI","Sunday"
"1122","KRMI-CSMT SP","KARMALI","CST-MUMBAI","Friday"
"1196","NGP-KRMI SPL","NAGPUR JN.(CR)","KARMALI","Saturday"
"1301","PUNE-MAJN WE","PUNE JN.","MANGALORE JN","Monday"
"1302","MAJN-PUNE WE","MANGALORE JN","PUNE JN.","Tuesday"
"1442","DSJ-KK MTY S","DELHI-SAFDAR JANG","KHADKI","Tuesday"
"1655","PUNE-JBP SPL","PUNE JN.","JABALPUR","Wednesday"
"1656","JBP-PUNE SPL","JABALPUR","PUNE JN.","Friday"
"1705","BDTS-JBP SF","BANDRA TERMINUS","JABALPUR","Friday"
"1706","JBP-BDTS SF","JABALPUR","BANDRA TERMINUS","Saturday"
"1707","JBP-ATT BI-W","JABALPUR","ATARI JN","Thursday"
"1708","ATT-JBP BI-W","ATARI JN","JABALPUR","Tuesday"
"2025","CSMT-KRMI SF","CST-MUMBAI","KARMALI","Tuesday"
"2026","KRMI-CSMT SF","KARMALI","CST-MUMBAI","Monday"
"2191","JBP-SRC SF S","JABALPUR","SANTRAGACHI JN.","Tuesday"
"2192","SRC-JBP SF S","SANTRAGACHI JN.","JABALPUR","Wednesday"
"2195","REWA-BPL SF","REWA","BHOPAL","Thursday"
"2196","BPL-REWA SF","BHOPAL","REWA","Monday"
"2515","TVC-SCL SPL","TRIVANDRUM CENTRAL","SILCHAR","Wednesday"
"2651","PLNI-POY EXP","PALANI","POLLACHI","Monday"
"2652","POY-PLNI EXP","POLLACHI","PALANI","Thursday"
"2731","HYB-JP HSP","HYDERABAD DECCAN","JAIPUR JN.","Thursday"
"2732","JP-HYB SPECI","JAIPUR JN.","HYDERABAD DECCAN","Monday"
"2821","PUNE-SRC AC","PUNE JN.","SANTRAGACHI JN.","Friday"
"2822","SRC-PUNE  AC","SANTRAGACHI JN.","PUNE JN.","Friday"
"2833","RJT-SRC SF A","RAJKOT","SANTRAGACHI JN.","Thursday"
"2834","SRC-RJT SF A","SANTRAGACHI JN.","RAJKOT","Saturday"
"2841","SRC MAS SPL","SANTRAGACHI JN.","CHENNAI CENTRAL","Wednesday"
"2842","MAS SRC SPL","CHENNAI CENTRAL","SANTRAGACHI JN.","Wednesday"
"2845","PUNE HTE SPL","PUNE JN.","HATIA","Thursday"
"2846","HTE-PUNE SPL","HATIA","PUNE JN.","Friday"
"3101","KOAA PURI SP","KOLKATA","PURI","Friday"
"3102","PURI KOAA SP","PURI","KOLKATA","Sunday"
"3301","ASN-DHN MEMU","ASANSOL MAIN","DHANBAD JN.","Wednesday"
"3302","DHN-ASN MEMU","DHANBAD JN.","ASANSOL MAIN","Monday"
"3305","DHN-KUSUNDA","DHANBAD JN.","KUSUNDA","Saturday"
"3306","KUSUNDA-DHN","KUSUNDA","DHANBAD JN.","Friday"
"3307","SZE-PLJE MEM","SONARDIH","PHULWARTANR","Wednesday"
"3308","PLJE-SZE MEM","PHULWARTANR","SONARDIH","Friday"
"3501","JSME-ANVT BI","JASIDIH JN.","ANAND VIHAR TERMINAL","Sunday"
"3502","ANVT-JSME BI","ANAND VIHAR TERMINAL","JASIDIH JN.","Saturday"
"4401","ANVT-UHP EXP","ANAND VIHAR TERMINAL","SHRI MATA VAISHNO DEVI KATRA","Thursday"
"4402","UHP-ANVT EXP","SHRI MATA VAISHNO DEVI KATRA","ANAND VIHAR TERMINAL","Thursday"
"4409","DLI-SVDK SPL","DELHI JN.","SHRI MATA VAISHNO DEVI KATRA","Sunday"
"4410","SVDK-DLI SPL","SHRI MATA VAISHNO DEVI KATRA","DELHI JN.","Wednesday"
"4419","MAO-NZM WINT","MADGOAN JN.","HAZRAT NIZAMUDDIN JN","Sunday"
"4420","NZM-MAO WINT","HAZRAT NIZAMUDDIN JN","MADGOAN JN.","Wednesday"
"4735","BKN - HW EXP","BIKANER JN.","HARIDWAR JN","Sunday"
"4736","HW - BKN EXP","HARIDWAR JN","BIKANER JN.","Tuesday"
"4767","HMH-SGNR SPL","HANUMANGARH JN.","SHRI GANGANAGAR","Sunday"
"4768","SGNR-HMH SPL","SHRI GANGANAGAR","HANUMANGARH JN.","Wednesday"
"4769","HMH SGNR PAS","HANUMANGARH JN.","SHRI GANGANAGAR","Monday"
"4770","SGNR HMH PAS","SHRI GANGANAGAR","HANUMANGARH JN.","Thursday"
"4771","SDLP-SGNR SP","SADULPUR JN","SHRI GANGANAGAR","Tuesday"
"4772","SGNR-SDLP SP","SHRI GANGANAGAR","SADULPUR JN","Tuesday"
"4773","SGNR SOG SPL","SHRI GANGANAGAR","SURATGARH JN.","Tuesday"
"4774","SOG SGNR SPL","SURATGARH JN.","SHRI GANGANAGAR","Sunday"
"4801","PBC MKN PASS","PARVATSAR CITY","MAKRANA JN.","Thursday"
"4802","MKN PBC PASS","MAKRANA JN.","PARVATSAR CITY","Saturday"
"4831","JU HW SPL","JODHPUR JN.","HARIDWAR JN","Sunday"
"4832","HW JU SPL","HARIDWAR JN","JODHPUR JN.","Wednesday"
"4851","MTD RTGH SPL","MERTA ROAD JN.","RATANAGARH JN","Thursday"
"4852","RTGH MTD SPL","RATANAGARH JN","MERTA ROAD JN.","Monday"
"4853","RTGH CUR SPL","RATANAGARH JN","CHURU","Monday"
"4854","CUR RTGH SPL","CHURU","RATANAGARH JN","Monday"
"4921","SRE-UMB MEMU","SAHARANPUR JN.","AMBALA CANTT JN","Tuesday"
"4922","UMB-SRE MEMU","AMBALA CANTT JN","SAHARANPUR JN.","Tuesday"
"4991","PTK-JAT DEMU","PATHANKOT JN.","JAMMU TAWI","Wednesday"
"4992","JAT-PTK DEMU","JAMMU TAWI","PATHANKOT JN.","Sunday"
"5061","GKP - BNY SP","GORAKHPUR JN.","BARHNI","Wednesday"
"5062","BNY - GKP SP","BARHNI","GORAKHPUR JN.","Monday"
"5065","CPR-LJN","CHHAPRA JN.","LUCKNOW JN.","Thursday"
"5066","LJN-CPR-EXP","LUCKNOW JN.","CHHAPRA JN.","Saturday"
"5105","GKP-BST SPL","GORAKHPUR JN.","BASTI","Wednesday"
"5106","BST-GKP SPL","BASTI","GORAKHPUR JN.","Monday"
"5305","CPA-FBD EXP","KANPUR ANWARGANJ","FARRUKHABAD JN","Thursday"
"5306","FBD- CPA EXP","FARRUKHABAD JN","KANPUR ANWARGANJ","Saturday"
"5309","BC-LKU SPL","BAREILLY CITY","LALKUA JN.","Friday"
"5310","LKU-BC EXP","LALKUA JN.","BAREILLY CITY","Wednesday"
"5521","JMP-SHC SPEC","JAMALPUR JN.","SAHARSA JN.","Saturday"
"5522","SHC-JMP SPEC","SAHARSA JN.","JAMALPUR JN.","Monday"
"5613","JLWC-KOTA SP","JHALAWAR CITY","KOTA","Sunday"
"5614","KOTA-JLWC SP","KOTA","JHALAWAR CITY","Sunday"
"5619","NLP - MZS PA","NORTH LAKHIMPUR","MURKEONG SELEK","Thursday"
"5620","MZS - NLP PA","MURKEONG SELEK","NORTH LAKHIMPUR","Tuesday"
"5631","GHY - SCL PA","GUWAHATI","SILCHAR","Wednesday"
"5632","SCL - GHY PA","SILCHAR","GUWAHATI","Friday"
"5715","GAREEB NAWAZ","NEW JALPAIGURI JN","KISHANGANJ","Monday"
"5716","GAREEB NAWAZ","KISHANGANJ","NEW JALPAIGURI JN","Thursday"
"5719","KIR - SGUJ D","KATIHAR JN.","SILIGURI JN.","Saturday"
"5720","SGUJ - KIR D","SILIGURI JN.","KATIHAR JN.","Tuesday"
"5863","RNY - RPAN P","RANGIYA JN.","RANGAPARA NORTH","Saturday"
"5864","RPAN - RNY P","RANGAPARA NORTH","RANGIYA JN.","Saturday"
"5865","RNY - MZS PA","RANGIYA JN.","MURKEONG SELEK","Thursday"
"5866","MZS - RNY PA","MURKEONG SELEK","RANGIYA JN.","Monday"
"6001","MS-TEN SPECI","CHENNAI EGMORE","TIRUNELVELI JN","Friday"
"6002","TEN - MS SPE","TIRUNELVELI JN","CHENNAI EGMORE","Wednesday"
"6006","ERS-MAS SPL","ERNAKULAM. JN","CHENNAI CENTRAL","Tuesday"
"6009","SRC-PDY SPL","SANTRAGACHI JN.","PONDICHERRY","Tuesday"
"6010","PDY-SRC SPL","PONDICHERRY","SANTRAGACHI JN.","Monday"
"6041","MAS-QLN SPEC","CHENNAI CENTRAL","QUILON","Monday"
"6042","QLN-MAS SPEC","QUILON","CHENNAI CENTRAL","Thursday"
"6043","MAS-QLN SPL","CHENNAI CENTRAL","QUILON","Saturday"
"6044","QLN-MAS  SPL","QUILON","CHENNAI CENTRAL","Friday"
"6046","QLN-MAS SPEC","QUILON","CHENNAI CENTRAL","Tuesday"
"6047","MAS-QLN SPL","CHENNAI CENTRAL","QUILON","Friday"
"6048","QLN- MAS SPL","QUILON","CHENNAI CENTRAL","Tuesday"
"6049","MS-QLN SPL F","CHENNAI EGMORE","QUILON","Monday"
"6050","QLN-MS  SPL","QUILON","CHENNAI EGMORE","Wednesday"
"6053","KCVL-MAJN S/","KOCHUVELI","MANGALORE JN","Saturday"
"6054","MAJN-KCVL S/","MANGALORE JN","KOCHUVELI","Sunday"
"6057","SRC-MAS  SPL","SANTRAGACHI JN.","CHENNAI CENTRAL","Friday"
"6058","MAS-SRC  EXP","CHENNAI CENTRAL","SANTRAGACHI JN.","Tuesday"
"6065","CGL-MDU SPL","CHENGALPATTU","MADURAI JN","Monday"
"6066","MDU-CGL SPL","MADURAI JN","CHENGALPATTU","Tuesday"
"6067","CGL-CBE TRI-","CHENGALPATTU","COIMBATORE  JN.","Sunday"
"6068","CBE-CGL TRI-","COIMBATORE  JN.","CHENGALPATTU","Saturday"
"6081","CBE-POY PASS","COIMBATORE  JN.","POLLACHI","Friday"
"6082","POY-CBE PASS","POLLACHI","COIMBATORE  JN.","Thursday"
